tic,toc,method,size,elapsed
87.66,88.122,exact,1265,0.4620000000000033
88.122,88.70700000000001,mc,1265,0.585000000000008
88.83,88.837,exact,40,0.007000000000005002
88.837,89.197,mc,40,0.35999999999999943
4.527,5.002,exact,400,0.47499999999999964
5.003,6.4110000000000005,mc,400,1.4080000000000004
6.541,6.5760000000000005,exact,40,0.03500000000000014
6.5760000000000005,6.942,mc,40,0.36599999999999966
7.259,11.763,exact,4000,4.504
11.763,14.521,mc,4000,2.758000000000001
14.649000000000001,14.661,exact,126,0.011999999999998678
14.661,15.025,mc,126,0.36400000000000077
15.155000000000001,15.608,exact,1265,0.4529999999999994
15.608,16.194,mc,1265,0.5859999999999985
18.439,64.981,exact,12649,46.541999999999994
64.981,89.126,mc,12649,24.14500000000001
4.471,4.907,exact,40,0.43599999999999994
4.907,6.192,mc,40,1.2850000000000001
6.329,6.408,exact,400,0.07900000000000063
6.408,6.805,mc,400,0.39699999999999935
6.945,7.396,exact,1265,0.4509999999999996
7.396,8.003,mc,1265,0.6070000000000002
10.266,56.333,exact,12649,46.067
56.333,80.488,mc,12649,24.155
80.623,80.635,exact,126,0.012000000000000455
80.635,81,mc,126,0.3649999999999949
81.31400000000001,85.746,exact,4000,4.431999999999988
85.746,88.501,mc,4000,2.7550000000000097
4.514,5.394,exact,1265,0.8799999999999999
5.394,7.4430000000000005,mc,1265,2.0490000000000004
7.779,12.218,exact,4000,4.439
12.218,14.965,mc,4000,2.747
15.094000000000001,15.105,exact,126,0.010999999999999233
15.105,15.469000000000001,mc,126,0.36400000000000077
15.583,15.59,exact,40,0.006999999999999673
15.59,15.949,mc,40,0.359
18.179000000000002,62.879,exact,12649,44.699999999999996
62.879,87.013,mc,12649,24.134000000000007
87.14,87.19,exact,400,0.04999999999999716
87.19,87.568,mc,400,0.3780000000000001
6.496,52.1,exact,12649,45.604
52.1,77.718,mc,12649,25.618000000000002
77.851,77.929,exact,400,0.07800000000000296
77.93,78.308,mc,400,0.3780000000000001
78.424,78.435,exact,126,0.01099999999999568
78.435,78.796,mc,126,0.3610000000000042
78.93,79.379,exact,1265,0.44899999999999807
79.379,79.96600000000001,mc,1265,0.5870000000000033
80.288,84.796,exact,4000,4.50800000000001
84.796,87.553,mc,4000,2.756999999999991
87.682,87.69,exact,40,0.007999999999995566
87.69,88.049,mc,40,0.35900000000000887
4.674,9.534,exact,4000,4.86
9.534,13.821,mc,4000,4.286999999999999
13.96,14.036,exact,400,0.07599999999999874
14.036,14.414,mc,400,0.3780000000000001
14.530000000000001,14.537,exact,40,0.006999999999999673
14.537,14.896,mc,40,0.359
15.008000000000001,15.019,exact,126,0.010999999999999233
15.019,15.38,mc,126,0.36100000000000065
15.51,15.965,exact,1265,0.45500000000000007
15.965,16.552,mc,1265,0.5869999999999997
18.786,64.18,exact,12649,45.394000000000005
64.18,88.32600000000001,mc,12649,24.146
4.48,4.938,exact,126,0.4579999999999993
4.938,6.2410000000000005,mc,126,1.3030000000000008
6.3740000000000006,6.413,exact,40,0.0389999999999997
6.413,6.772,mc,40,0.359
8.996,55.005,exact,12649,46.009
55.005,79.153,mc,12649,24.148000000000003
79.305,79.758,exact,1265,0.45299999999998875
79.758,80.345,mc,1265,0.5870000000000033
80.675,85.126,exact,4000,4.451000000000008
85.126,87.872,mc,4000,2.745999999999995
87.999,88.048,exact,400,0.049000000000006594
88.048,88.426,mc,400,0.3780000000000001
4.477,4.956,exact,400,0.4790000000000001
4.956,6.344,mc,400,1.388
6.489,6.525,exact,40,0.036000000000000476
6.525,6.8870000000000005,mc,40,0.3620000000000001
7.2010000000000005,11.746,exact,4000,4.545
11.746,14.501,mc,4000,2.754999999999999
14.631,14.642,exact,126,0.010999999999999233
14.642,15.005,mc,126,0.3630000000000013
15.136000000000001,15.591000000000001,exact,1265,0.45500000000000007
15.591000000000001,16.179000000000002,mc,1265,0.588000000000001
18.423000000000002,65.126,exact,12649,46.703
65.126,89.297,mc,12649,24.170999999999992
6.546,52.792,exact,12649,46.246
52.792,78.408,mc,12649,25.616
78.556,79.037,exact,1265,0.48100000000000875
79.038,79.627,mc,1265,0.5889999999999986
79.94800000000001,84.465,exact,4000,4.516999999999996
84.46600000000001,87.23,mc,4000,2.763999999999996
87.36,87.367,exact,40,0.007000000000005002
87.368,87.729,mc,40,0.3610000000000042
87.846,87.896,exact,400,0.04999999999999716
87.896,88.276,mc,400,0.37999999999999545
88.391,88.402,exact,126,0.01099999999999568
88.402,88.773,mc,126,0.3709999999999951
4.483,5.362,exact,1265,0.8790000000000004
5.362,7.409,mc,1265,2.0469999999999997
9.656,55.709,exact,12649,46.053000000000004
55.71,79.852,mc,12649,24.142000000000003
79.987,79.997,exact,40,0.010000000000005116
79.997,80.354,mc,40,0.3569999999999993
80.666,85.083,exact,4000,4.417000000000002
85.083,87.84,mc,4000,2.757000000000005
87.98,88.03,exact,400,0.04999999999999716
88.03,88.408,mc,400,0.3780000000000001
88.521,88.533,exact,126,0.012000000000000455
88.533,88.893,mc,126,0.35999999999999943
4.626,9.491,exact,4000,4.864999999999999
9.492,13.751,mc,4000,4.258999999999999
13.903,14.371,exact,1265,0.46799999999999997
14.371,14.957,mc,1265,0.5860000000000003
17.184,61.991,exact,12649,44.807
61.992000000000004,86.136,mc,12649,24.14399999999999
86.264,86.278,exact,126,0.014000000000010004
86.279,86.644,mc,126,0.3650000000000091
86.755,86.762,exact,40,0.007000000000005002
86.763,87.121,mc,40,0.3579999999999899
87.237,87.286,exact,400,0.049000000000006594
87.286,87.664,mc,400,0.3780000000000001
4.498,4.973,exact,400,0.47499999999999964
4.974,6.364,mc,400,1.3899999999999997
6.496,6.532,exact,40,0.03599999999999959
6.532,6.892,mc,40,0.3600000000000003
7.022,7.474,exact,1265,0.45199999999999996
7.4750000000000005,8.08,mc,1265,0.6049999999999995
8.41,13.001,exact,4000,4.590999999999999
13.001,15.75,mc,4000,2.7490000000000006
15.886000000000001,15.898,exact,126,0.011999999999998678
15.898,16.261,mc,126,0.36299999999999955
18.479,64.1,exact,12649,45.620999999999995
64.1,88.244,mc,12649,24.144000000000005
4.514,4.987,exact,400,0.47299999999999986
4.988,6.381,mc,400,1.3929999999999998
8.643,54.791000000000004,exact,12649,46.148
54.791000000000004,78.943,mc,12649,24.151999999999994
79.07900000000001,79.08800000000001,exact,40,0.009000000000000341
79.08800000000001,79.446,mc,40,0.3579999999999899
79.761,84.232,exact,4000,4.471000000000004
84.232,86.999,mc,4000,2.766999999999996
87.127,87.139,exact,126,0.012000000000000455
87.139,87.508,mc,126,0.3689999999999998
87.638,88.09700000000001,exact,1265,0.4590000000000032
88.09700000000001,88.683,mc,1265,0.5859999999999985
4.462,4.8950000000000005,exact,40,0.4330000000000007
4.896,6.178,mc,40,1.282
6.516,11.01,exact,4000,4.494
11.01,13.767,mc,4000,2.7569999999999997
16.008,62.136,exact,12649,46.128
62.136,86.284,mc,12649,24.148000000000003
86.43,86.88,exact,1265,0.44999999999998863
86.88,87.46600000000001,mc,1265,0.5860000000000127
87.587,87.60000000000001,exact,126,0.01300000000000523
87.60000000000001,87.964,mc,126,0.3639999999999901
88.081,88.13,exact,400,0.04899999999999238
88.13,88.51,mc,400,0.38000000000000966
4.493,4.933,exact,126,0.4399999999999995
4.933,6.237,mc,126,1.3040000000000003
6.393,6.876,exact,1265,0.48300000000000054
6.876,7.501,mc,1265,0.625
7.664000000000001,7.672000000000001,exact,40,0.008000000000000007
7.672000000000001,8.042,mc,40,0.3699999999999992
10.274000000000001,60.209,exact,12649,49.935
60.209,84.35600000000001,mc,12649,24.147000000000006
84.492,84.544,exact,400,0.0519999999999925
84.544,84.923,mc,400,0.3790000000000049
85.245,89.721,exact,4000,4.475999999999999
89.721,92.477,mc,4000,2.7560000000000002
4.485,4.964,exact,400,0.4790000000000001
4.964,6.354,mc,400,1.3899999999999997
6.687,11.147,exact,4000,4.46
11.147,13.895,mc,4000,2.7479999999999993
16.16,61.802,exact,12649,45.641999999999996
61.802,85.977,mc,12649,24.175000000000004
86.105,86.115,exact,40,0.009999999999990905
86.115,86.47500000000001,mc,40,0.36000000000001364
86.589,86.599,exact,126,0.010000000000005116
86.599,86.961,mc,126,0.36199999999999477
87.09,87.536,exact,1265,0.44599999999999795
87.536,88.122,mc,1265,0.5859999999999985
6.505,51.735,exact,12649,45.23
51.735,77.349,mc,12649,25.614000000000004
77.477,77.557,exact,400,0.0799999999999983
77.557,77.936,mc,400,0.3790000000000049
78.081,78.528,exact,1265,0.44700000000000273
78.528,79.114,mc,1265,0.5859999999999985
79.236,79.248,exact,40,0.012000000000000455
79.248,79.615,mc,40,0.3669999999999902
79.929,84.359,exact,4000,4.429999999999993
84.36,87.10600000000001,mc,4000,2.7460000000000093
87.236,87.248,exact,126,0.012000000000000455
87.248,87.60900000000001,mc,126,0.3610000000000042
6.533,52.638,exact,12649,46.105
52.638,78.256,mc,12649,25.618000000000002
78.391,78.432,exact,126,0.04099999999999682
78.432,78.796,mc,126,0.3640000000000043
78.927,79.376,exact,1265,0.44899999999999807
79.376,79.96300000000001,mc,1265,0.5870000000000033
80.084,80.139,exact,400,0.05499999999999261
80.139,80.519,mc,400,0.38000000000000966
80.834,85.303,exact,4000,4.468999999999994
85.303,88.06400000000001,mc,4000,2.76100000000001
88.193,88.2,exact,40,0.007000000000005002
88.2,88.559,mc,40,0.35899999999999466
6.547,52.596000000000004,exact,12649,46.04900000000001
52.597,78.22800000000001,mc,12649,25.631000000000007
78.559,83.054,exact,4000,4.4950000000000045
83.054,85.807,mc,4000,2.753
85.93900000000001,85.95,exact,126,0.01099999999999568
85.95,86.311,mc,126,0.3610000000000042
86.43,86.482,exact,400,0.0519999999999925
