"nsamp","true","est","time"
5000,-177.722349291848,-275.284336340117,1.447
5000,-177.722349291848,-306.352468873231,0.496
5000,-177.722349291848,-322.653732688726,0.456
5000,-177.722349291848,-367.454740614272,0.457
5000,-177.722349291848,-283.151473627736,0.455
5000,-177.722349291848,-271.384858758776,0.456
5000,-177.722349291848,-366.263821580966,0.456
5000,-177.722349291848,-416.765861526465,0.462
5000,-177.722349291848,-272.222746519379,0.456
5000,-177.722349291848,-363.942362216027,0.468
5000,-177.722349291848,-322.49601428278,0.458
5000,-177.722349291848,-314.109486536378,0.455
5000,-177.722349291848,-366.864449801438,0.455
5000,-177.722349291848,-300.266228969908,0.458
5000,-177.722349291848,-252.81885767033,0.456
5000,-177.722349291848,-289.01165442274,0.455
5000,-177.722349291848,-370.366757026213,0.455
5000,-177.722349291848,-297.774686503693,0.460000000000001
5000,-177.722349291848,-267.899123487157,0.453999999999999
5000,-177.722349291848,-305.815714432776,0.458
5000,-177.722349291848,-281.01752667009,0.457000000000001
5000,-177.722349291848,-306.440052928167,0.456
5000,-177.722349291848,-277.662162615687,0.467000000000001
5000,-177.722349291848,-338.97090551971,0.456999999999999
5000,-177.722349291848,-355.863932818015,0.456
5000,-177.722349291848,-269.465165004791,0.465
5000,-177.722349291848,-359.597284832954,0.460000000000001
5000,-177.722349291848,-287.397497480723,0.456
5000,-177.722349291848,-356.456973409291,0.459
5000,-177.722349291848,-302.686664013444,0.458000000000002
5000,-177.722349291848,-359.546622890856,0.459
5000,-177.722349291848,-315.707745174694,0.457000000000001
5000,-177.722349291848,-323.329204728884,0.457000000000001
5000,-177.722349291848,-266.229000551584,0.454999999999998
5000,-177.722349291848,-267.90277369121,0.457000000000001
5000,-177.722349291848,-316.229137724001,0.457999999999998
5000,-177.722349291848,-308.295257188242,0.856000000000002
5000,-177.722349291848,-301.277081103128,0.457999999999998
5000,-177.722349291848,-530.410703058788,0.454999999999998
5000,-177.722349291848,-293.155004995006,0.457000000000001
5000,-177.722349291848,-308.921144646938,0.475999999999999
5000,-177.722349291848,-417.919241678223,0.457000000000001
5000,-177.722349291848,-323.119355332325,0.459
5000,-177.722349291848,-299.697611964221,0.457000000000001
5000,-177.722349291848,-313.628784965558,0.456999999999997
5000,-177.722349291848,-280.403996398594,0.457000000000001
5000,-177.722349291848,-345.753242382354,0.454000000000001
5000,-177.722349291848,-256.423235919005,0.459
5000,-177.722349291848,-274.414839812403,0.456
5000,-177.722349291848,-354.944205171254,0.457000000000001
5000,-177.722349291848,-331.213858996621,0.454999999999998
5000,-177.722349291848,-296.996286263209,0.457000000000001
5000,-177.722349291848,-374.588660611003,0.456
5000,-177.722349291848,-289.009977739504,0.457999999999998
5000,-177.722349291848,-277.373388770776,0.455000000000002
5000,-177.722349291848,-299.727488069553,0.457000000000001
5000,-177.722349291848,-306.160322733715,0.456
5000,-177.722349291848,-273.088694067765,0.872
5000,-177.722349291848,-269.852266424237,0.457000000000001
5000,-177.722349291848,-266.935126183832,0.454999999999998
5000,-177.722349291848,-322.38464423837,0.457999999999998
5000,-177.722349291848,-285.669028203086,0.455000000000005
5000,-177.722349291848,-272.670419956432,0.457000000000001
5000,-177.722349291848,-367.429033808238,0.458999999999996
5000,-177.722349291848,-302.725447013757,0.456000000000003
5000,-177.722349291848,-279.069166079401,0.455999999999996
5000,-177.722349291848,-331.081957979191,0.857000000000006
5000,-177.722349291848,-278.811825316571,0.455999999999996
5000,-177.722349291848,-278.721235800888,0.459000000000003
5000,-177.722349291848,-280.340170294011,0.454999999999998
5000,-177.722349291848,-284.230184988117,0.457000000000001
5000,-177.722349291848,-297.707471792173,0.852000000000004
5000,-177.722349291848,-263.455968950494,0.457000000000001
5000,-177.722349291848,-295.220704944397,0.456999999999994
5000,-177.722349291848,-269.017569986726,0.859999999999999
5000,-177.722349291848,-317.731958479291,0.454999999999998
5000,-177.722349291848,-298.466984961441,0.457000000000001
5000,-177.722349291848,-292.859996419144,0.457000000000001
5000,-177.722349291848,-287.209636523046,0.455999999999996
5000,-177.722349291848,-311.299145678858,0.455999999999996
5000,-177.722349291848,-275.588763865796,0.865000000000002
5000,-177.722349291848,-265.928090189058,0.459000000000003
5000,-177.722349291848,-293.896857179747,0.848999999999997
5000,-177.722349291848,-302.905673617333,0.457000000000001
5000,-177.722349291848,-346.533094602971,0.457000000000001
5000,-177.722349291848,-312.213799722476,0.457999999999998
5000,-177.722349291848,-304.723684538179,0.457000000000001
5000,-177.722349291848,-272.070387180874,0.850999999999999
5000,-177.722349291848,-296.763342222111,0.458000000000006
5000,-177.722349291848,-338.481747948069,0.460000000000001
5000,-177.722349291848,-348.637766846249,0.462999999999994
5000,-177.722349291848,-287.274397607928,0.850000000000001
5000,-177.722349291848,-374.948774891593,0.457000000000001
5000,-177.722349291848,-343.00328478152,0.456000000000003
5000,-177.722349291848,-293.346115591835,0.456000000000003
5000,-177.722349291848,-274.592461772523,0.455999999999996
5000,-177.722349291848,-365.365702339253,0.456000000000003
5000,-177.722349291848,-321.756471734691,0.465000000000003
5000,-177.722349291848,-304.20665990065,0.456999999999994
5000,-177.722349291848,-311.176252480758,0.455999999999996
10000,-149.268976489392,-186.349252010254,0.486000000000004
10000,-149.268976489392,-220.640374869693,0.469999999999999
10000,-149.268976489392,-192.600037557206,0.470999999999997
10000,-149.268976489392,-194.804789114197,0.469000000000001
