"h","cov_true","cov_spline","cov_bestmatern"
0,1.01,1,0.747390648459564
0.0100200400801603,0.987475600771942,0.989415112513514,0.705072943861786
0.0200400801603206,0.974955074209522,0.978489588328273,0.698165653296927
0.030060120240481,0.962442203973261,0.966894485229859,0.687987419642482
0.0400801603206413,0.949940677747594,0.954973477044529,0.675236984136106
0.0501002004008016,0.937454088472588,0.943866826432198,0.660459664862017
0.0601202404809619,0.924985935574557,0.932864060146774,0.644097331196043
0.0701402805611222,0.912539626195196,0.921662070148323,0.626514990292749
0.0801603206412826,0.900118476418912,0.910476821816957,0.608017474749077
0.0901803607214429,0.887725712498001,0.898677972889284,0.588860977675651
0.100200400801603,0.875364472075351,0.887744846628321,0.56926154234655
0.110220440881764,0.86303780540435,0.876072867419316,0.549401587243572
0.120240480961924,0.850748676565696,0.86417997184768,0.529435079887382
0.130260521042084,0.838499964680804,0.853479905280775,0.509491734997122
0.140280561122244,0.826294465121513,0.84166831509313,0.489680480956366
0.150300601202405,0.814134890715828,0.830579223954033,0.470092360853641
0.160320641282565,0.802023872949395,0.818829677304376,0.450802985951275
0.170340681362725,0.78996396316247,0.80683445481647,0.431874627904241
0.180360721442886,0.777957633742098,0.794720762999988,0.4133580147266
0.190380761523046,0.76600727930927,0.781964755972824,0.395293880608144
0.200400801603206,0.754115217900803,0.769831056233459,0.377714308982994
0.210420841683367,0.74228369214571,0.757890729937975,0.360643900372397
0.220440881763527,0.730514870435839,0.745617648239741,0.344100790594613
0.230460921843687,0.718810848090547,0.734067294712276,0.328097540386285
0.240480961923848,0.707173648515202,0.722324871739511,0.31264191393038
0.250501002004008,0.695605224353318,0.709945823803574,0.297737560973797
0.260521042084168,0.684107458632097,0.698029498134693,0.283384614959514
0.270541082164329,0.672682165901218,0.68627639799396,0.269580217762563
0.280561122244489,0.661331093364657,0.672859195766002,0.256318980111013
0.290581162324649,0.650055922005386,0.660340853568623,0.243593385521988
0.30060120240481,0.638858267702756,0.64828066078514,0.231394144535902
0.31062124248497,0.627739682342418,0.636090864806258,0.219710505149412
0.32064128256513,0.616701654918609,0.623944128001094,0.20853052459821
0.330661322645291,0.60574561262866,0.612195513704048,0.197841307000697
