"h","cov_true","cov_spline","cov_bestmatern","cov_hall","cov_hall_norm"
3.09619238476954,2.63990403353438e-20,-0.00744615740054029,1.06805435517774e-22,0.0187619569900654,0.150395998258895
3.1062124248497,2.25998049211804e-20,-0.00765411811245206,8.96112134916874e-23,0.0183300978322481,0.146934211773531
3.11623246492986,1.93471456172491e-20,-0.00778273427783777,7.51840251904278e-23,0.0178995366922112,0.143482830209144
3.12625250501002,1.65624582663528e-20,-0.00782918360454535,6.30787437971165e-23,0.0174702892886477,0.140041979566902
3.13627254509018,1.41784386091041e-20,-0.00780261121466648,5.29218213600483e-23,0.0170423707465196,0.136611781088625
3.14629258517034,1.2137458489792e-20,-0.0077236258829682,4.43997831294895e-23,0.0166157960688322,0.13319235503852
3.1563126252505,1.03901753047982e-20,-0.00762038695555576,3.72495705587048e-23,0.0161905802585906,0.1297838216808
3.16633266533066,8.89434120493121e-21,-0.00752118878385072,3.12504360643323e-23,0.0157667383188,0.126386301279674
3.17635270541082,7.61378336913331e-21,-0.00744568517087647,2.62171403043601e-23,0.0153442852524654,0.122999914099351
3.18637274549098,6.51753078369185e-21,-0.00739851262918414,2.19942427471038e-23,0.0149232360625921,0.119624780404043
3.19639278557114,5.57906648717933e-21,-0.00736867945133215,1.84513098983811e-23,0.0145036057521852,0.116261020457959
3.2064128256513,4.77568726156338e-21,-0.00733546230319367,1.54788937564338e-23,0.0140854093242499,0.112908754525309
3.21643286573146,4.08795533678757e-21,-0.00727802692689777,1.29851567399646e-23,0.0136686617817843,0.109568102870247
3.22645290581162,3.49922889179468e-21,-0.00718376064478533,1.08930392100852e-23,0.0132533779491894,0.106239184325292
3.23647294589178,2.99526003266736e-21,-0.00705099926151291,9.1378823917616e-24,0.0128395720079304,0.102922112569182
3.24649298597194,2.56385055392351e-21,-0.00688528711490778,7.66543350646466e-24,0.0124272579948473,0.0996170001213381
3.2565130260521,2.19455718107195e-21,-0.00669246575806149,6.43017168502431e-24,0.0120164499467797,0.0963239595011822
3.26653306613226,1.87843918479385e-21,-0.00647399815960842,5.39390309906303e-24,0.0116071619005677,0.0930431032281349
3.27655310621242,1.60784227822432e-21,-0.00622839447537473,4.52458203385704e-24,0.0111994078930508,0.0897745438216173
3.28657314629258,1.37621358332543e-21,-0.005958167634103,3.79532157944176e-24,0.0107932019610691,0.0865183938010503
3.29659318637275,1.17794320130538e-21,-0.00567724251701083,3.18356345383198e-24,0.0103885581414619,0.0832747656858518
3.30661322645291,1.00822856346145e-21,-0.00541233503750767,2.67038137167767e-24,0.00998549047106977,0.0800437719954492
3.31663326653307,8.62958288145671e-22,-0.00519487130061752,2.23989648406413e-24,0.0095840129867322,0.07682552524926
3.32665330661323,7.38612739986498e-22,-0.00504599478120298,1.87878686687404e-24,0.0091841395510072,0.0736201365696612
3.33667334669339,6.32178890374782e-22,-0.00496243277901707,1.57587593224958e-24,0.00878588333975617,0.0704277115744637
3.34669338677355,5.4107742323287e-22,-0.00491190377064873,1.32178706929727e-24,0.00838925735973497,0.0672483545259274
3.35671342685371,4.631003255415e-22,-0.00484226838652794,1.10865386103242e-24,0.00799427461769949,0.0640821696863119
