"h","cov_true","cov_spline","cov_bestmatern","cov_hall","cov_hall_norm"
0.821643286573146,0.185239629853538,0.0556742065099992,0.000267040520165671,0.0411003081175273,0.959373017073583
0.831663326653307,0.179129554799518,0.046636015609604,0.000241128691260858,0.0410581295089329,0.95838847411426
0.841683366733467,0.173115133565145,0.0370933742602872,0.000217703915863113,0.0410154654201875,0.957392598963558
0.851703406813627,0.167195863334675,0.027871939600515,0.000196530691392025,0.0409723167890483,0.95638541351083
0.861723446893788,0.161371224249106,0.0180214611115997,0.00017739543388349,0.0409286845532727,0.955366939645428
0.871743486973948,0.155640679988883,0.00862769651630521,0.000160104483916452,0.040884569650618,0.954337199256701
0.881763527054108,0.150003678347294,-0.000847116704890581,0.000144482288332466,0.0408399730188416,0.953296214234003
0.891783567134269,0.144459651794603,-0.0103804205855688,0.000130369742953429,0.0407948955957009,0.952244006466685
0.901803607214429,0.139008018032974,-0.0194904868225861,0.000117622682657345,0.0407493383189531,0.951180597844097
0.911823647294589,0.133648180542241,-0.0272378463687186,0.000106110506248654,0.040703302132933,0.950106010409123
0.921843687374749,0.128379529116585,-0.0354458042727139,9.57149245618796e-05,0.0406567880434918,0.949020267640577
0.93186372745491,0.123201440392172,-0.0444904926473546,8.63288211688299e-05,0.0406097970900609,0.947923393801109
0.94188376753507,0.118113278365823,-0.0535023494872501,7.78552159239596e-05,0.0405623303124112,0.946815413161296
0.95190380761523,0.113114394904754,-0.0618822472906298,7.0206322383506e-05,0.0405143887503137,0.945696349991718
0.961923847695391,0.108204130247481,-0.0695200624448063,6.33026908753216e-05,0.0404659734435395,0.944566228562952
0.971943887775551,0.103381813495921,-0.0783177984582234,5.70724296815697e-05,0.0404170854318596,0.943425073145577
0.981963927855711,0.0986467630987822,-0.0854652593840523,5.14504974291294e-05,0.040367725755045,0.942272908010171
0.991983967935872,0.0939982873262868,-0.0943319871293691,4.63780603661067e-05,0.0403178954528666,0.941109757427314
1.00200400801603,0.0894356847363093,-0.101776435143196,4.18019087405337e-05,0.0402675955650955,0.939935645667582
1.01202404809619,0.0849582446319903,-0.109368000077346,3.76739269923051e-05,0.0402168271371432,0.938750597133214
1.02204408817635,0.0805652475108971,-0.115578177370946,3.39506129246392e-05,0.0401655912729579,0.937554637592833
1.03206412825651,0.0762559655058011,-0.122514587031053,3.05926414397008e-05,0.0401138891111628,0.936347793624442
1.04208416833667,0.0720296628171428,-0.129050043971211,2.75644688071735e-05,0.0400617217908344,0.935130091816635
1.05210420841683,0.0678855961372555,-0.136148655874863,2.48339737870426e-05,0.0400090904510491,0.933901558758003
1.06212424849699,0.0638230150664209,-0.142773089420545,2.23721322510474e-05,0.0399559962308838,0.932662221037138
1.07214428857715,0.0598411625208289,-0.150558458720537,2.01527222433933e-05,0.0399024402694148,0.931412105242633
1.08216432865731,0.055939275132517,-0.156501469558902,1.8152056692496e-05,0.0398484237057189,0.930151237963081
1.09218436873747,0.0521165836413613,-0.162879608315797,1.6348741233691e-05,0.0397939476788725,0.928879645787072
1.10220440881764,0.0483723132791967,-0.16976117956094,1.47234548298247e-05,0.0397390133279523,0.9275973553032
1.1122244488978,0.044705684146141,-0.176210463784825,1.3258751084124e-05,0.0396836217968281,0.926304393211943
1.12224448897796,0.0411159115791988,-0.183058816461269,1.19388783293045e-05,0.0396277742847535,0.925000787506559
1.13226452905812,0.0376022065132226,-0.188082410330491,1.0749616749982e-05,0.0395714720265543,0.923686567010641
1.14228456913828,0.0341637758343081,-0.193312519073004,9.67813095344504e-06,0.0395147162576419,0.92236176056145
1.15230460921844,0.0307998227257011,-0.199017225704754,8.71283654798641e-06,0.0394575082134277,0.921026396996249
1.1623246492986,0.0275095470062952,-0.204277539873039,7.84327941943135e-06,0.0393998491293231,0.919680505152302
1.17234468937876,0.0242921454617964,-0.209045934887512,7.06002651630729e-06,0.0393417402407396,0.91832411386687
1.18236472945892,0.0211468121686365,-0.214674088570658,6.35456706326144e-06,0.0392831827830886,0.916957251977217
1.19238476953908,0.0180727388107112,-0.219274715758202,5.7192232217533e-06,0.0392241779917814,0.915579948320605
1.20240480961924,0.0150691149890251,-0.224000993383905,5.14706930756301e-06,0.0391647271022296,0.914192231734298
1.2124248496994,0.0121351285243205,-0.227200460893102,4.63185875703463e-06,0.0391048313538785,0.91279413114972
1.22244488977956,0.00926996575277247,-0.231250907976985,4.1679581089171e-06,0.0390444920382676,0.911385676714288
1.23246492985972,0.00647281181482718,-0.236155489037761,3.75028733682471e-06,0.0389837104831911,0.909966899421683
1.24248496993988,0.00374285093726664,-0.240422928662828,3.37426592930688e-06,0.0389224880171781,0.908537830282745
1.25250501002004,0.00107926670857755,-0.244703803291483,3.03576417083789e-06,0.0388608259687578,0.907098500308315
1.2625250501002,-0.00151875765229395,-0.248982013313787,2.73105912821075e-06,0.0387987256664596,0.905648940509233
1.27254509018036,-0.00405203903372203,-0.25291769125136,2.45679489330126e-06,0.0387361884388125,0.904189181896339
1.28256513026052,-0.00652139417563431,-0.25629695344574,2.20994667537792e-06,0.0386732156143459,0.902719255480473
1.29258517034068,-0.00892763942011877,-0.25921256992592,1.98778837445114e-06,0.0386098085215889,0.901239192272475
1.30260521042084,-0.0112715904683235,-0.262680220944204,1.78786330193229e-06,0.0385459684890708,0.899749023283185
1.312625250501,-0.0135540621435693,-0.266085626930007,1.60795774642747e-06,0.0384816968486801,0.898248779601858
1.32264529058116,-0.015775868160594,-0.26909394261128,1.44607711111399e-06,0.0384169949810044,0.896738493454493
1.33266533066132,-0.0179378209008497,-0.272456402146322,1.30042437510613e-06,0.0383518643033345,0.895218197923823
1.34268537074148,-0.0200407311937718,-0.27549828874291,1.16938065475221e-06,0.0382863062338612,0.893687926113592
1.35270541082164,-0.0220854081039395,-0.277909974618174,1.05148766213973e-06,0.0382203221907753,0.892147711127538
1.3627254509018,-0.0240726587240496,-0.280258969786808,9.45431877419465e-07,0.0381539135922675,0.890597586069403
1.37274549098196,-0.0260032879736221,-0.283219293439453,8.50030269078648e-07,0.0380870818565286,0.889037584042927
1.38276553106212,-0.0278780984033589,-0.286559551133499,7.64217412162317e-07,0.0380198284017492,0.887467738151851
1.39278557114228,-0.0296978900050776,-0.288683647715873,6.87033868815474e-07,0.0379521546461203,0.885888081499915
